id,person_id,tense_id,verb_id,conj_verb
1,1,4,1,abandono
2,2,4,1,abandonas
3,3,4,1,abandona
4,4,4,1,abandonamos
5,5,4,1,abandonáis
6,6,4,1,abandonan
7,1,5,1,abandonaba
8,2,5,1,abandonabas
9,3,5,1,abandonaba
10,4,5,1,abandonábamos
11,5,5,1,abandonabais
12,6,5,1,abandonaban
13,1,6,1,abandoné
14,2,6,1,abandonaste
15,3,6,1,abandonó
16,4,6,1,abandonamos
17,5,6,1,abandonasteis
18,6,6,1,abandonaron
19,1,7,1,abandonaré
20,2,7,1,abandonarás
21,3,7,1,abandonará
22,4,7,1,abandonaremos
23,5,7,1,abandonaréis
24,6,7,1,abandonarán
25,1,8,1,abandonaría
26,2,8,1,abandonarías
27,3,8,1,abandonaría
28,4,8,1,abandonaríamos
29,5,8,1,abandonaríais
30,6,8,1,abandonarían
31,1,9,1,abandone
32,2,9,1,abandones
33,3,9,1,abandone
34,4,9,1,abandonemos
35,5,9,1,abandonéis
36,6,9,1,abandonen
37,1,10,1,abandonara
38,2,10,1,abandonaras
39,3,10,1,abandonara
40,4,10,1,abandonáramos
41,5,10,1,abandonarais
42,6,10,1,abandonaran
43,1,11,1,abandonase
44,2,11,1,abandonases
45,3,11,1,abandonase
46,4,11,1,abandonásemos
47,5,11,1,abandonaseis
48,6,11,1,abandonasen
49,1,12,1,abandonare
50,2,12,1,abandonares
51,3,12,1,abandonare
52,4,12,1,abandonáremos
53,5,12,1,abandonareis
54,6,12,1,abandonaren
55,1,13,1,abandona
56,2,13,1,abandone
57,3,13,1,abandonemos
58,4,13,1,abandonad
59,5,13,1,abandonen
60,1,14,1,abandones
61,2,14,1,abandone
62,3,14,1,abandonemos
63,4,14,1,abandonéis
64,5,14,1,abandonen
65,1,4,2,abjuro
66,2,4,2,abjuras
67,3,4,2,abjura
68,4,4,2,abjuramos
69,5,4,2,abjuráis
70,6,4,2,abjuran
71,1,5,2,abjuraba
72,2,5,2,abjurabas
73,3,5,2,abjuraba
74,4,5,2,abjurábamos
75,5,5,2,abjurabais
76,6,5,2,abjuraban
77,1,6,2,abjuré
78,2,6,2,abjuraste
79,3,6,2,abjuró
80,4,6,2,abjuramos
81,5,6,2,abjurasteis
82,6,6,2,abjuraron
83,1,7,2,abjuraré
84,2,7,2,abjurarás
85,3,7,2,abjurará
86,4,7,2,abjuraremos
87,5,7,2,abjuraréis
88,6,7,2,abjurarán
89,1,8,2,abjuraría
90,2,8,2,abjurarías
91,3,8,2,abjuraría
92,4,8,2,abjuraríamos
93,5,8,2,abjuraríais
94,6,8,2,abjurarían
95,1,9,2,abjure
96,2,9,2,abjures
97,3,9,2,abjure
98,4,9,2,abjuremos
99,5,9,2,abjuréis
100,6,9,2,abjuren
101,1,10,2,abjurara
102,2,10,2,abjuraras
103,3,10,2,abjurara
104,4,10,2,abjuráramos
105,5,10,2,abjurarais
106,6,10,2,abjuraran
107,1,11,2,abjurase
108,2,11,2,abjurases
109,3,11,2,abjurase
110,4,11,2,abjurásemos
111,5,11,2,abjuraseis
112,6,11,2,abjurasen
113,1,12,2,abjurare
114,2,12,2,abjurares
115,3,12,2,abjurare
116,4,12,2,abjuráremos
117,5,12,2,abjurareis
118,6,12,2,abjuraren
119,1,13,2,abjura
120,2,13,2,abjure
121,3,13,2,abjuremos
122,4,13,2,abjurad
123,5,13,2,abjuren
124,1,14,2,abjures
125,2,14,2,abjure
126,3,14,2,abjuremos
127,4,14,2,abjuréis
128,5,14,2,abjuren
129,1,4,3,ablando
130,2,4,3,ablandas
131,3,4,3,ablanda
132,4,4,3,ablandamos
133,5,4,3,ablandáis
134,6,4,3,ablandan
135,1,5,3,ablandaba
136,2,5,3,ablandabas
137,3,5,3,ablandaba
138,4,5,3,ablandábamos
139,5,5,3,ablandabais
140,6,5,3,ablandaban
141,1,6,3,ablandé
142,2,6,3,ablandaste
143,3,6,3,ablandó
144,4,6,3,ablandamos
145,5,6,3,ablandasteis
146,6,6,3,ablandaron
147,1,7,3,ablandaré
148,2,7,3,ablandarás
149,3,7,3,ablandará
150,4,7,3,ablandaremos
151,5,7,3,ablandaréis
152,6,7,3,ablandarán
153,1,8,3,ablandaría
154,2,8,3,ablandarías
155,3,8,3,ablandaría
156,4,8,3,ablandaríamos
157,5,8,3,ablandaríais
158,6,8,3,ablandarían
159,1,9,3,ablande
160,2,9,3,ablandes
161,3,9,3,ablande
162,4,9,3,ablandemos
163,5,9,3,ablandéis
164,6,9,3,ablanden
165,1,10,3,ablandara
166,2,10,3,ablandaras
167,3,10,3,ablandara
168,4,10,3,ablandáramos
169,5,10,3,ablandarais
170,6,10,3,ablandaran
171,1,11,3,ablandase
172,2,11,3,ablandases
