verb_id,gerund,ms,fs,mp,fp
1,abandonando,abandonado,abandonada,abandonados,abandonadas
2,abjurando,abjurado,abjurada,abjurados,abjuradas
3,ablandando,ablandado,ablandada,ablandados,ablandadas
4,ablandándose,ablandado,ablandada,ablandados,ablandadas
5,abochornando,abochornado,abochornada,abochornados,abochornadas
6,abofeteando,abofeteado,abofeteada,abofeteados,abofeteadas
7,aboliendo,abolido,abolida,abolidos,abolidas
8,abonándose,abonado,abonada,abonados,abonadas
9,abordando,abordado,abordada,abordados,abordadas
10,abortando,abortado,abortada,abortados,abortadas
11,abovedando,abovedado,abovedada,abovedados,abovedadas
12,abrasando,abrasado,abrasada,abrasados,abrasadas
13,abrazando,abrazado,abrazada,abrazados,abrazadas
14,abreviando,abreviado,abreviada,abreviados,abreviadas
15,abriendo,abierto,abierta,abiertos,abiertas
16,abrochando,abrochado,abrochada,abrochados,abrochadas
17,abrumando,abrumado,abrumada,abrumados,abrumadas
18,absorbiendo,absorbido,absorbida,absorbidos,absorbidas
19,abucheando,abucheado,abucheada,abucheados,abucheadas
20,abundando,abundado,abundada,abundados,abundadas
21,aburriendo,aburrido,aburrida,aburridos,aburridas
22,aburriéndose,aburrido,aburrida,aburridos,aburridas
23,abusando,abusado,abusada,abusados,abusadas
24,acabando,acabado,acabada,acabados,acabadas
25,acallando,acallado,acallada,acallados,acalladas
26,acampando,acampado,acampada,acampados,acampadas
27,acaparando,acaparado,acaparada,acaparados,acaparadas
28,acariciando,acariciado,acariciada,acariciados,acariciadas
29,accediendo,accedido,accedida,accedidos,accedidas
30,accionando,accionado,accionada,accionados,accionadas
31,acechando,acechado,acechada,acechados,acechadas
32,aceitando,aceitado,aceitada,aceitados,aceitadas
33,acelerando,acelerado,acelerada,acelerados,aceleradas
34,acentuando,acentuado,acentuada,acentuados,acentuadas
35,acepillando,acepillado,acepillada,acepillados,acepilladas
36,aceptando,aceptado,aceptada,aceptados,aceptadas
37,acerando,acerado,acerada,acerados,aceradas
38,acercando,acercado,acercada,acercados,acercadas
39,achatando,achatado,achatada,achatados,achatadas
40,acicalando,acicalado,acicalada,acicalados,acicaladas
41,aclamando,aclamado,aclamada,aclamados,aclamadas
42,aclarando,aclarado,aclarada,aclarados,aclaradas
43,aclimatando,aclimatado,aclimatada,aclimatados,aclimatadas
44,acogiendo,acogido,acogida,acogidos,acogidas
45,acolchando,acolchado,acolchada,acolchados,acolchadas
46,acometiendo,acometido,acometida,acometidos,acometidas
47,acomodando,acomodado,acomodada,acomodados,acomodadas
48,acompañando,acompañado,acompañada,acompañados,acompañadas
49,aconsejando,aconsejado,aconsejada,aconsejados,aconsejadas
50,acoplando,acoplado,acoplada,acoplados,acopladas
51,acordando,acordado,acordada,acordados,acordadas
52,acorralando,acorralado,acorralada,acorralados,acorraladas
53,acosando,acosado,acosada,acosados,acosadas
54,acostando,acostado,acostada,acostados,acostadas
55,acostándose,acostado,acostada,acostados,acostadas
56,acotando,acotado,acotada,acotados,acotadas
57,acreditando,acreditado,acreditada,acreditados,acreditadas
58,acribillando,acribillado,acribillada,acribillados,acribilladas
59,activando,activado,activada,activados,activadas
60,actuando,actuado,actuada,actuados,actuadas
61,acuartelando,acuartelado,acuartelada,acuartelados,acuarteladas
62,acumulando,acumulado,acumulada,acumulados,acumuladas
63,acunando,acunado,acunada,acunados,acunadas
64,acusando,acusado,acusada,acusados,acusadas
65,acuñando,acuñado,acuñada,acuñados,acuñadas
66,adaptando,adaptado,adaptada,adaptados,adaptadas
67,adecentando,adecentado,adecentada,adecentados,adecentadas
68,adelantando,adelantado,adelantada,adelantados,adelantadas
69,adhiriéndose,adherido,adherida,adheridos,adheridas
70,adiestrando,adiestrado,adiestrada,adiestrados,adiestradas
71,adivinando,adivinado,adivinada,adivinados,adivinadas
72,adjuntando,adjuntado,adjuntada,adjuntados,adjuntadas
73,administrando,administrado,administrada,administrados,administradas
74,admirando,admirado,admirada,admirados,admiradas
75,admitiendo,admitido,admitida,admitidos,admitidas
76,adobando,adobado,adobada,adobados,adobadas
77,adoptando,adoptado,adoptada,adoptados,adoptadas
78,adorando,adorado,adorada,adorados,adoradas
79,adornando,adornado,adornada,adornados,adornadas
80,adulando,adulado,adulada,adulados,aduladas
81,adulterando,adulterado,adulterada,adulterados,adulteradas
82,afectando,afectado,afectada,afectados,afectadas
83,afeitando,afeitado,afeitada,afeitados,afeitadas
84,afeitándose,afeitado,afeitada,afeitados,afeitadas
85,afilando,afilado,afilada,afilados,afiladas
86,afinando,afinado,afinada,afinados,afinadas
87,afirmando,afirmado,afirmada,afirmados,afirmadas
88,agarrando,agarrado,agarrada,agarrados,agarradas
89,agitando,agitado,agitada,agitados,agitadas
90,agorando,agorado,agorada,agorados,agoradas
91,agriando,agriado,agriada,agriados,agriadas
92,ahogando,ahogado,ahogada,ahogados,ahogadas
93,alargando,alargado,alargada,alargados,alargadas
94,alegrando,alegrado,alegrada,alegrados,alegradas
95,alimentando,alimentado,alimentada,alimentados,alimentadas
96,aliviando,aliviado,aliviada,aliviados,aliviadas
97,alquilando,alquilado,alquilada,alquilados,alquiladas
98,amando,amado,amada,amados,amadas
99,amenazando,amenazado,amenazada,amenazados,amenazadas
100,ampliando,ampliado,ampliada,ampliados,ampliadas
101,andando,andado,andada,andados,andadas
102,animando,animado,animada,animados,animadas
103,anticipando,anticipado,anticipada,anticipados,anticipadas
104,apagando,apagado,apagada,apagados,apagadas
105,aparcando,aparcado,aparcada,aparcados,aparcadas
106,apareciendo,aparecido,aparecida,aparecidos,aparecidas
107,aplaudiendo,aplaudido,aplaudida,aplaudidos,aplaudidas
108,aplicando,aplicado,aplicada,aplicados,aplicadas
109,apostando,apostado,apostada,apostados,apostadas
110,apoyando,apoyado,apoyada,apoyados,apoyadas
111,aprendiendo,aprendido,aprendida,aprendidos,aprendidas
