verb_id,auxiliary_is_essere,gerund,present_participle,past_participle
2,0,avendo,avente,avuto
3,1,andando,andante,andato
4,0,facendo,facente,fatto
6,0,volendo,volente,voluto
7,1,venendo,venente,venuto
9,0,dando,dante,dato
10,1,stando,stante,stato
11,0,dicendo,dicente,detto
12,0,vedendo,vedente,visto
13,0,sapendo,sapiente,saputo
14,0,prendendo,prendente,preso
15,1,uscendo,uscente,uscito
16,0,mangiando,mangiante,mangiato
17,0,parlando,parlante,parlato
18,1,piacendo,piacente,piaciuto
19,0,finendo,finente,finito
20,0,capendo,capente,capito
21,0,leggendo,leggente,letto
22,0,bevendo,bevente,bevuto
23,1,arrivando,arrivante,arrivato
24,0,mettendo,mettente,messo
25,1,rimanendo,rimanente,rimasto
26,1,partendo,partente,partito
27,0,amando,amante,amato
28,0,vivendo,vivente,vissuto
29,0,dormendo,dormente,dormito
30,0,scrivendo,scrivente,scritto
31,0,conoscendo,conoscente,conosciuto
32,0,sentendo,sentente,sentito
33,0,chiedendo,chiedente,chiesto
34,0,studiando,studiante,studiato
35,0,trovando,trovante,trovato
36,0,preferendo,preferente,preferito
37,0,lavorando,lavorante,lavorato
38,0,giocando,giocante,giocato
39,0,aprendo,aprente,aperto
40,0,chiamando,chiamante,chiamato
41,0,comprando,comprante,comprato
42,0,tenendo,tenente,tenuto
43,0,guardando,guardante,guardato
44,0,salendo,salente,salito
45,0,pensando,pensante,pensato
46,0,cercando,cercante,cercato
47,1,tornando,tornante,tornato
48,0,abitando,abitante,abitato
49,0,cominciando,cominciante,cominciato
50,1,riuscendo,riuscente,riuscito
51,1,morendo,morente,morto
52,1,passando,passante,passato
53,0,scegliendo,scegliente,scelto
54,0,correndo,corrente,corso
55,0,perdendo,perdente,perso
56,0,decidendo,decidente,deciso
57,0,chiudendo,chiudente,chiuso
58,0,credendo,credente,creduto
59,0,lasciando,lasciante,lasciato
60,0,ascoltando,ascoltante,ascoltato
61,0,cantando,cantante,cantato
62,0,aspettando,aspettante,aspettato
63,0,portando,portante,portato
64,0,pagando,pagante,pagato
65,1,nascendo,nascente,nato
66,0,alzando,alzante,alzato
67,0,ricevendo,ricevente,ricevuto
68,0,rispondendo,rispondente,risposto
69,0,lavando,lavante,lavato
70,0,vestendo,vestente,vestito
71,0,scendendo,scendente,sceso
72,0,vincendo,vincente,vinto
74,0,svegliando,svegliante,svegliato
75,0,offrendo,offrente,offerto
76,0,incontrando,incontrante,incontrato
77,0,dimenticando,dimenticante,dimenticato
78,1,cadendo,cadente,caduto
79,1,entrando,entrante,entrato
80,0,cuocendo,cuocente,cotto
81,1,pulendo,pulente,pulito
82,1,restando,restante,restato
83,1,diventando,diventante,diventato
84,0,imparando,imparante,imparato
85,0,divertendo,divertente,divertito
86,0,cambiando,cambiante,cambiato
87,0,seguendo,seguente,seguito
88,0,viaggiando,viaggiante,viaggiato
89,0,vendendo,vendente,venduto
90,0,traducendo,traducente,tradotto
91,0,telefonando,telefonante,telefonato
